,City,CityID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Dzhebariki-Khaya,2024626,97,RU,1567825408,66,62.22,135.8,51.38,4.18
1,Bredasdorp,1015776,0,ZA,1567825408,93,-34.53,20.04,57.0,3.36
2,Aleksandrov Gay,583345,96,RU,1567825409,54,50.14,48.57,62.77,5.77
3,Upernavik,3418910,0,GL,1567825409,64,72.79,-56.15,36.13,11.65
4,Hobart,2163355,75,AU,1567825201,76,-42.88,147.33,50.0,18.34
5,Pisco,3932145,40,PE,1567825368,82,-13.71,-76.2,61.0,12.75
6,Yellowknife,6185377,75,CA,1567825410,71,62.45,-114.38,50.0,9.17
7,Lagoa,2267254,0,PT,1567825410,78,37.14,-8.45,75.99,9.17
8,Saint George,262462,20,GR,1567825410,72,39.45,22.34,64.4,0.67
9,Kavaratti,1267390,40,IN,1567825410,78,10.57,72.64,82.4,9.17
10,Kaeo,2189343,5,NZ,1567825411,62,-35.1,173.78,62.01,8.99
11,Albany,5106834,90,US,1567825240,87,42.65,-73.75,62.6,11.41
12,Rikitea,4030556,0,PF,1567825411,62,-23.12,-134.97,65.33,31.72
13,Obihiro,2128815,75,JP,1567825344,83,42.92,143.2,69.8,1.12
14,Skjervoy,777682,100,NO,1567825412,80,70.03,20.97,46.53,14.9
15,Mataura,6201424,64,NZ,1567825412,68,-46.19,168.86,50.0,11.99
16,Karratha,6620339,0,AU,1567825412,26,-20.74,116.85,79.89,7.72
17,Katsuura,1865309,75,JP,1567825413,79,33.93,134.5,89.6,12.75
18,Hualmay,3939761,72,PE,1567825413,89,-11.1,-77.61,59.67,13.18
19,Coquimbo,3893629,75,CL,1567825413,93,-29.95,-71.34,51.8,4.7
20,Mar del Plata,3863379,2,AR,1567825414,81,-46.43,-67.52,37.52,3.49
21,Atuona,4020109,100,PF,1567825414,71,-9.8,-139.03,79.17,8.25
22,Marsh Harbour,3571913,67,BS,1567825414,87,26.54,-77.06,82.66,12.64
